#;QTY;REFDES;MANUFACTURER;PARTNO;VALUE;PACKAGE;SUPPLIER;ORDER #;
77;1;LOGO3;;N/A;;CASPERLOGO;;;
78;1;LOGO4;;N/A;;CUCARACA;;;
79;2;P1,P8;SAMTEC;TSM-108-01-TM-DV-P;.1IN M SMT;TSM_8X2_DV;SAM: TSM-108-01-TM-DV-P;;
80;1;P2;NORCOMP;182-009-112-171;9P DSUB MALE;87203-6043;NOR: 182-009-112-171;;
81;1;P3;FUJITSU;FCN-268F036-G/3DB;;FUJITSU_FCN_268F036_G_3DB;;;
82;2;P4,P11;SAMTEC;TSM-105-01-TM-SV;0.1IN M SMT;TSM_5X1_SV;SAM: TSM-105-01-TM-SV;;
83;2;P5,P7;TYCO ELECTRONICS;6367550-5;ZDOK40;TYCO6367550;;;
84;1;P6;MOLEX;89485-8001;NONE;MOLEX894858001;;;
85;1;P9;SAMTEC;QSH-040-01-L-D-DP-A-K;;QSH-040-01-X-D-DP-A;;;
86;1;PTC1;LITTELFUSE;1206L050;500MA;FUSC3216X75N;LIF: 1206L050;;
87;5;Q4,Q5,Q6,Q7,Q8;FAIRCHILD SEMICONDUCTOR;BSS138;BSS138;SOT95P240X110-3N;;;
88;2;Q9,Q10;FAIRCHILD SEMICONDUCTOR;NDS331N;NDS331N;SOT95P241X112-3N;;;
89;1;Q11;FAIRCHILD;FJD3076TM;;DPAK-P950X240-3N;;;
90;3;Q12,Q13,Q14;FAIRCHILD;FDS6675BZ;;SO-8;;;
91;45;R1,R2,R7,R8,R9,R47,R48,R53,R54,R90,R91,R96,R99,R100,R101,R102,R105,R109,R110,R114,R117,R123,R124,R130,R131,R135,R161,R162,R163,R167,R180,R181,R188,R189,R229,R230,R235,R236,R288,R289,R290,R291,R299,R302,R303;ROYAL OHM;0402WGF0103T1E;10K;RESC1005X40N;AVNET;;
92;5;R3,R183,R207,R208,R267;ROYAL OHM;0402WGF0102T1E;1K;RESC1005X40N;;;
93;4;R4,R111,R112,R144;ROYAL OHM;0402WG00T1E;0R;RESC1005X40N;;;
94;6;R5,R83,R84,R132,R133,R134;ROYAL OHM;0402WGF0332T1E;3K3;RESC1005X40N;;;
95;2;R6,R138;ROYAL OHM;0402WGJ0120T1E;120R;RESC1005X40N;;;
96;29;R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R139,R142,R145,R150,R222,R223,R237,R239,R240,R241,R242,R272,R273,R274,R275,R276,R277;ROYAL OHM;0402WGF0220T1E;22R;RESC1005X40N;;;
97;25;R22,R40,R51,R52,R56,R140,R141,R151,R152,R153,R154,R155,R156,R157,R158,R254,R255,R256,R257,R258,R259,R260,R261,R300,R301;ROYAL OHM;0402WGF499JT1E;49.9R;RESC1005X40N;;;
98;32;R23,R27,R28,R29,R30,R31,R32,R33,R34,R35,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R80,R81,R82;ROYAL OHM;0402WGF0332T1E;3K3;RESC1005X40N;AVNET;;
99;3;R24,R25,R85;ROYAL OHM;0402WGF0102T1E;1K;RESC1005X40N;AVNET;;
