Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 826771  Y 540944
X 830314  Y 537007
X 834251  Y 540944
X 834251  Y 537007
X 838188  Y 537007
X 842125  Y 537007
X 846062  Y 537007
X 850000  Y 540944
X 850118  Y 547638
X 857813  Y 550450
X 867699  Y 550450
X 915354  Y 542913
X 916536  Y 554724
X 916536  Y 546850
X 916536  Y 538976
X 916536  Y 550787
X 916536  Y 558661
X 925267  Y 545492
X 948425  Y 550787
X 955767  Y 547992
X 956299  Y 542913
X 964173  Y 546850
X 964173  Y 551181
X 968110  Y 558661
X 972047  Y 551181
X 979921  Y 551181
X 980929  Y 553748
X 983858  Y 551181
X 983858  Y 535039
X 984472  Y 553748
X 987795  Y 538976
X 987795  Y 542913
X 987795  Y 550787
X 987795  Y 546850
X 991732  Y 535039
X 991732  Y 542913
X 991732  Y 538976
X 991732  Y 551181
X 991732  Y 546850
X 991929  Y 553748
X 995472  Y 553748
X 995669  Y 546850
X 995669  Y 542913
X 995669  Y 550787
X 999606  Y 535039
X 999606  Y 550787
X 999606  Y 542913
X 999767  Y 546992
X 1001929  Y 553748
X 1003543  Y 550787
X 1003543  Y 542913
X 1003543  Y 535039
X 1003543  Y 538976
X 1005472  Y 553748
X 1007480  Y 538976
X 1007480  Y 550787
X 1007480  Y 535039
X 1007480  Y 542913
X 1011417  Y 535039
X 1011417  Y 550787
X 1011417  Y 538976
X 1011929  Y 553748
X 1015354  Y 550787
X 1015354  Y 538976
X 1015354  Y 542913
X 1015472  Y 553748
X 1019291  Y 535039
X 1019291  Y 550787
X 1019291  Y 538976
X 1019291  Y 542913
X 1023228  Y 535039
X 1023228  Y 550787
X 1023228  Y 542913
X 1025889  Y 553739
X 1027165  Y 550787
X 1027165  Y 535039
X 1027165  Y 538976
X 1027165  Y 542913
X 1029423  Y 553739
X 1031102  Y 550787
X 1031102  Y 542913
X 1031102  Y 538976
X 1031102  Y 535039
X 1033929  Y 553748
X 1035039  Y 535039
X 1035039  Y 542913
X 1035039  Y 550787
X 1035039  Y 538976
X 1037472  Y 553748
X 1038976  Y 550787
X 1038976  Y 538976
X 1038976  Y 542913
X 1038976  Y 535039
X 1042913  Y 550787
X 1042913  Y 538976
X 1042913  Y 542913
X 1042913  Y 535039
X 1043131  Y 553937
X 1046850  Y 542913
X 1046850  Y 538976
X 1046850  Y 550787
X 1046850  Y 535039
X 1050787  Y 550787
X 1050787  Y 538976
X 1050787  Y 542913
X 1050787  Y 535039
X 1052929  Y 553748
X 1054724  Y 550787
X 1054724  Y 538976
X 1054724  Y 542913
X 1054724  Y 535039
X 1056472  Y 553748
X 1058661  Y 550787
X 1058661  Y 542913
X 1058661  Y 538976
X 1058661  Y 535039
X 1062598  Y 550787
X 1062598  Y 546850
X 1062598  Y 538976
X 1062598  Y 542913
X 1062598  Y 535039
X 1063929  Y 553748
X 1066535  Y 546850
X 1066535  Y 538976
X 1066535  Y 542913
X 1066535  Y 535039
X 1067472  Y 553748
X 1070472  Y 535039
X 1070472  Y 546850
X 1070472  Y 542913
X 1070472  Y 538976
X 1074409  Y 554724
X 1074409  Y 550787
X 1074409  Y 546850
X 1074409  Y 542913
X 1074409  Y 538976
X 1074409  Y 535039
X 1074409  Y 558661
X 1078346  Y 550787
X 1078346  Y 546850
X 1078346  Y 542913
X 1078346  Y 538976
X 1078346  Y 535039
X 1078346  Y 554724
X 1078346  Y 558661
X 1082283  Y 538976
X 1082283  Y 554724
X 1082283  Y 550787
X 1082283  Y 546850
X 1082283  Y 542913
X 1082283  Y 558661
X 1082283  Y 535039
X 1086220  Y 546850
X 1086220  Y 550787
X 1086220  Y 538976
X 1086220  Y 558661
X 1086220  Y 535039
X 1086220  Y 542913
X 1086220  Y 554724
X 1090157  Y 535039
X 1090157  Y 538976
X 1090157  Y 554724
X 1090157  Y 546850
X 1090157  Y 550787
X 1090157  Y 558661
X 1091338  Y 541732
X 1265748  Y 536811
X 1090157  Y 574409
X 1090157  Y 578346
X 1090157  Y 582283
X 1086220  Y 574409
X 1086220  Y 570472
X 1086220  Y 578346
X 1086220  Y 566535
X 1086220  Y 562598
X 1086220  Y 582283
X 1082283  Y 566535
X 1082283  Y 562598
X 1082283  Y 570472
X 1082283  Y 578346
X 1082283  Y 574409
X 1082283  Y 582283
X 1078346  Y 566535
X 1078346  Y 562598
X 1078346  Y 570472
X 1078346  Y 578346
X 1078346  Y 574409
X 1078346  Y 582283
X 1074409  Y 562598
X 1074409  Y 566535
X 1070472  Y 578346
X 1070472  Y 574409
X 1070472  Y 570472
X 1070472  Y 582283
X 1067511  Y 572795
X 1067511  Y 562795
X 1067511  Y 576338
X 1067511  Y 566338
X 1067511  Y 582795
X 1059637  Y 572795
X 1059637  Y 562795
X 1059637  Y 566338
X 1059637  Y 576338
X 1047842  Y 572637
X 1047842  Y 576181
X 1046314  Y 561622
X 1045669  Y 568503
X 1043377  Y 575385
X 1042913  Y 582283
X 1042771  Y 561622
X 1039834  Y 575385
X 1038976  Y 578346
X 1036314  Y 561622
X 1035039  Y 582283
X 1032771  Y 561622
X 1031331  Y 575209
X 1031102  Y 582283
X 1027834  Y 575385
X 1027165  Y 582283
X 1025314  Y 561622
X 1023228  Y 582283
X 1021771  Y 561622
X 1020377  Y 575385
X 1019291  Y 582283
X 1016834  Y 575385
X 1015354  Y 582283
X 1014314  Y 561622
X 1011417  Y 582283
X 1010771  Y 561622
X 1010434  Y 575407
X 1007480  Y 582283
X 1006834  Y 575385
X 1005314  Y 561622
X 1004724  Y 568503
X 1001771  Y 561622
X 1001377  Y 575385
X 998614  Y 580511
X 997834  Y 575385
X 992724  Y 562795
X 992724  Y 566338
X 987007  Y 581694
X 986818  Y 562755
X 986818  Y 572755
X 986818  Y 566299
X 986818  Y 576299
X 978944  Y 562598
X 978944  Y 572598
X 978944  Y 566141
X 978944  Y 576141
X 978944  Y 581598
X 975984  Y 570472
X 975984  Y 574409
X 975984  Y 578346
X 975984  Y 582283
X 968110  Y 562598
X 968110  Y 574409
X 968110  Y 570472
X 968110  Y 578346
X 968110  Y 582283
X 964173  Y 578346
X 964173  Y 570472
X 964173  Y 574409
X 964173  Y 582283
X 960236  Y 578346
X 960236  Y 562598
X 960236  Y 570472
X 960236  Y 582283
X 956692  Y 570472
X 956299  Y 578346
X 956299  Y 574409
X 956299  Y 582283
X 932677  Y 570472
X 925196  Y 562598
X 925196  Y 566929
X 918110  Y 582283
X 916536  Y 562598
X 907874  Y 582283
X 857677  Y 576377
X 855905  Y 580314
X 854133  Y 576377
X 853267  Y 566992
X 851968  Y 580314
X 848031  Y 580314
X 847353  Y 566985
X 844094  Y 580314
X 840157  Y 580314
X 836220  Y 580314
X 833520  Y 566985
X 832086  Y 576377
X 828543  Y 576377
X 825318  Y 567118
X 813654  Y 564188
X 804767  Y 559992
X 800000  Y 583070
X 799767  Y 577992
X 796767  Y 559992
X 795267  Y 578992
X 786267  Y 575492
X 780906  Y 566535
X 780906  Y 576377
X 777559  Y 566929
X 777400  Y 576377
X 755301  Y 576377
X 752767  Y 566992
X 749267  Y 569492
X 744488  Y 560629
X 742913  Y 581889
X 739767  Y 561492
X 731889  Y 574409
X 731102  Y 571259
X 729921  Y 576377
X 729921  Y 568110
X 729921  Y 560629
X 729921  Y 580314
X 725984  Y 572440
X 725984  Y 576377
X 725984  Y 560629
X 725984  Y 568503
X 725984  Y 580314
X 725984  Y 564566
X 722047  Y 568503
X 722047  Y 564566
X 722047  Y 576377
X 722047  Y 580314
X 722047  Y 560629
X 721653  Y 572440
X 718110  Y 568503
X 718110  Y 560629
X 718110  Y 564566
X 718110  Y 576377
X 718110  Y 580314
X 714173  Y 560629
X 714173  Y 572440
X 714173  Y 564566
X 714173  Y 580314
X 714173  Y 576377
X 714173  Y 568503
X 710236  Y 568503
X 710236  Y 583858
X 710236  Y 560629
X 710236  Y 575984
X 710236  Y 580708
X 710236  Y 572440
X 710236  Y 564566
X 706299  Y 580314
X 706299  Y 572440
X 706299  Y 568503
X 706299  Y 576377
X 706299  Y 560629
X 706299  Y 564566
X 702362  Y 580314
X 702362  Y 576377
X 702362  Y 564566
X 702362  Y 568503
X 702362  Y 572440
X 702362  Y 560629
X 698425  Y 580314
X 698425  Y 568503
X 698425  Y 572440
X 698425  Y 576377
X 698425  Y 560629
X 698425  Y 564566
X 694488  Y 580314
X 694488  Y 572440
X 694488  Y 568503
X 694488  Y 576377
X 694488  Y 560629
X 694488  Y 564566
X 690551  Y 580708
X 690551  Y 576377
X 690551  Y 564566
X 690551  Y 560629
X 686614  Y 580314
X 686614  Y 576377
X 686614  Y 564566
X 686614  Y 560629
X 686614  Y 568503
X 686614  Y 572440
X 682677  Y 568503
X 682677  Y 560629
X 682677  Y 572440
X 682677  Y 576377
X 678740  Y 564566
