C249     GRM155R71E103KAO1B               151.000    146.500    Top                            270          0.55MM                           10NF     
C250     GRM155R71E103KAO1B               150.000    146.500    Top                            270          0.55MM                           10NF     
C251     GRM155R71E103KAO1B               153.000    146.500    Top                            270          0.55MM                           10NF     
C252     GRM155R71E103KAO1B               152.000    146.500    Top                            270          0.55MM                           10NF     
C253     GRM155R71E103KAO1B               166.500    146.500    Top                            270          0.55MM                           10NF     
C254     GRM155R71E103KAO1B               165.500    146.500    Top                            270          0.55MM                           10NF     
C255     GRM155R71E103KAO1B               168.400    146.600    Top                            270          0.55MM                           10NF     
C256     GRM155R71E103KAO1B               169.400    146.600    Top                            270          0.55MM                           10NF     
C257     ECJ-0EB0J224K                    139.000    129.000    Bottom                         0            0.55MM                           220NF    
C258     ECJ-0EB0J224K                    141.000    129.000    Bottom                         0            0.55MM                           220NF    
C259     ECJ-0EB0J224K                    145.000    129.000    Bottom                         0            0.55MM                           220NF    
C260     ECJ-0EB0J224K                    147.000    129.000    Bottom                         0            0.55MM                           220NF    
C261     ECJ-0EB0J224K                    165.500    127.000    Bottom                         180          0.55MM                           220NF    
C262     ECJ-0EB0J224K                    143.000    129.000    Bottom                         0            0.55MM                           220NF    
C263     ECJ-0EB0J224K                    139.000    121.000    Bottom                         0            0.55MM                           220NF    
C264     ECJ-0EB0J224K                    133.500    97.500     Top                            90           0.55MM                           220NF    
C265     ECJ-0EB0J224K                    137.600    97.500     Top                            90           0.55MM                           220NF    
C266     ECJ-0EB0J224K                    139.700    97.500     Top                            90           0.55MM                           220NF    
C267     ECJ-0EB0J224K                    129.500    97.500     Bottom                         90           0.55MM                           220NF    
C268     ECJ-0EB0J224K                    143.500    97.500     Top                            90           0.55MM                           220NF    
C269     ECJ-0EB0J224K                    145.500    97.500     Top                            90           0.55MM                           220NF    
C270     GRM32DR61C106KA01K               47.600     113.617    Top                            180          2.2MM                            10UF     
C271     GRM32DR61C106KA01K               47.700     93.317     Top                            180          2.2MM                            10UF     
C272     ECJ-0EB0J224K                    145.000    125.000    Bottom                         0            0.55MM                           220NF    
C273     GRM21BR60J106KE19L               149.500    86.000     Top                            90           1.35MM                           10UF     
C274     GRM21BR60J106KE19L               171.500    94.000     Top                            0            1.35MM                           10UF     
C275     ECJ-0EB0J224K                    137.000    123.000    Bottom                         0            0.55MM                           220NF    
C276     ECJ-0EB0J224K                    115.500    128.000    Bottom                         0            0.55MM                           220NF    
C277     ECJ-0EB0J224K                    147.000    123.000    Bottom                         0            0.55MM                           220NF    
C278     ECJ-0EB0J224K                    143.000    127.000    Bottom                         0            0.55MM                           220NF    
C279     ECJ-0EB0J224K                    139.000    123.000    Bottom                         0            0.55MM                           220NF    
C280     ECJ-0EB0J224K                    141.000    127.000    Bottom                         0            0.55MM                           220NF    
C281     GRM21BR60J106KE19L               159.500    164.000    Top                            90           1.35MM                           10UF     
C282     GRM21BR60J106KE19L               124.500    164.000    Top                            90           1.35MM                           10UF     
C283     GRM21BR60J106KE19L               86.500     111.000    Top                            0            1.35MM                           10UF     
C284     GRM21BR60J106KE19L               86.500     79.000     Top                            0            1.35MM                           10UF     
C285     ECJ-0EB0J224K                    161.500    97.500     Bottom                         90           0.55MM                           220NF    
C286     ECJ-0EB0J224K                    115.500    122.000    Bottom                         0            0.55MM                           220NF    
C287     ECJ-0EB0J224K                    139.000    125.000    Bottom                         0            0.55MM                           220NF    
C288     ECJ-0EB0J224K                    147.000    125.000    Bottom                         0            0.55MM                           220NF    
C289     ECJ-0EB0J224K                    137.000    121.000    Bottom                         0            0.55MM                           220NF    
C290     ECJ-0EB0J224K                    145.000    127.000    Bottom                         0            0.55MM                           220NF    
C291     ECJ-0EB0J224K                    124.000    128.000    Bottom                         180          0.55MM                           220NF    
C292     ECJ-0EB0J224K                    145.000    121.000    Bottom                         0            0.55MM                           220NF    
C293     ECJ-0EB0J224K                    145.500    97.500     Bottom                         90           0.55MM                           220NF    
C294     ECJ-0EB0J224K                    137.500    97.500     Bottom                         90           0.55MM                           220NF    
C295     ECJ-0EB0J224K                    121.500    97.500     Bottom                         90           0.55MM                           220NF    
C296     GRM155R71A104KAO1B               82.034     15.559     Bottom                         270          0.55MM                           100NF    
C297     GRM155R71A104KAO1B               107.434    15.459     Bottom                         270          0.55MM                           100NF    
