Part Report for roach103.pcb on 31/08/2009 14:16:51

Name     Layer Name                     Position X Position Y Orientatio Geometry.Height                  MANUFACTURER                     P/D_NUM                          Value    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C1       Top                               275.456   -161.639 270        3.1MM                            AVX                              TPSD227K010R0050                 220UF    
C168     Bottom                            192.228     -2.289 90         1.3MM                            MURATA                           GRM21BR61C475KA88                4.7UF    
C169     Bottom                            131.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C170     Bottom                            127.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C171     Bottom                            130.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C172     Top                               154.956   -135.739 0          1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C173     Bottom                            126.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C174     Top                                94.956   -147.739 270        1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C175     Bottom                            133.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C176     Top                               106.956   -147.739 270        1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C177     Bottom                            136.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C178     Bottom                            134.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C179     Bottom                            135.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C180     Top                               154.956   -131.739 0          1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C181     Bottom                            148.948   -128.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C182     Bottom                             98.956   -117.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C183     Top                               130.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C184     Top                               129.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C185     Top                               128.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C186     Top                               127.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C187     Top                               145.556    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C188     Top                               144.556    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C189     Top                               139.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C190     Top                               140.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C191     Bottom                            144.356    -98.239 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C192     Top                               267.956     -8.039 270        0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C193     Top                               266.456     -8.039 90         0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C194     Top                               265.056     -8.039 90         0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C195     Top                               263.756     -8.039 90         0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C196     Top                               277.256     -8.039 270        0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C197     Top                               275.956     -8.039 90         0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C198     Top                               274.556     -8.039 90         0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C199     Top                               273.156     -8.039 90         0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C200     Bottom                            126.456   -112.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C201     Bottom                            124.456   -114.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C202     Bottom                            126.456   -114.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C203     Bottom                            128.456   -114.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C204     Bottom                            134.956   -136.239 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C205     Top                               155.456   -117.239 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C206     Bottom                            124.456   -110.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C207     Bottom                            126.456   -110.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C208     Bottom                            128.456   -110.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C209     Top                               106.956   -136.239 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C210     Top                               110.956   -136.239 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C211     Top                               114.956   -136.239 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C212     Bottom                            142.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C213     Bottom                            139.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C214     Top                               119.156   -136.239 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C215     Bottom                            140.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
