Part Report for roach103.pcb on 31/08/2009 14:16:51

Name     Layer Name                     Position X Position Y Orientatio Geometry.Height                  MANUFACTURER                     P/D_NUM                          Value    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C1       Top                               275.456   -161.639 270        3.1MM                            AVX                              TPSD227K010R0050                 220UF    
R92      Top                               126.645    -18.824 270        0.4MM                            ROYAL OHM                        0402WGF0151T1E                   150R     
R93      Top                                95.149    -16.919 180        0.4MM                            ROYAL OHM                        0402WGF0392T1E                   3K9      
R94      Top                                95.149    -15.522 0          0.4MM                            ROYAL OHM                        0402WGF0682T1E                   6K8      
R95      Top                                95.149    -18.443 180        0.4MM                            ROYAL OHM                        0402WGF0392T1E                   3K9      
R96      Top                                74.956    -85.739 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R97      Top                                95.403     -7.902 180        0.4MM                            ROYAL OHM                        0402WGF0512T1E                   5K1      
R98      Top                                95.149    -14.125 180        0.4MM                            ROYAL OHM                        0402WGF0512T1E                   5K1      
R99      Top                               106.452    -12.474 0          0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R100     Top                               106.071    -18.443 0          0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R101     Bottom                            161.456    -84.739 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R102     Bottom                            161.463   -130.239 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R103     Top                               234.992   -214.929 270        0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R104     Top                               224.324   -214.929 90         0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R105     Top                               224.324   -212.389 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R106     Top                               225.594   -212.389 90         0.4MM                            ROYAL OHM                        0402WGF8201T1E                   82K      
R107     Top                               229.912   -214.929 270        0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R108     Top                               236.262   -214.929 90         0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R109     Top                                74.956    -96.239 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R110     Top                                74.956   -106.739 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R111     Top                               221.784   -214.929 90         0.4MM                            ROYAL OHM                        0402WG00T1E                      0R       
R112     Top                               233.722   -214.929 90         0.4MM                            ROYAL OHM                        0402WG00T1E                      0R       
R113     Top                               237.532   -212.135 90         0.4MM                            ROYAL OHM                        0402WGF8201T1E                   82K      
R114     Top                               236.262   -212.135 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R115     Top                               231.182   -214.929 90         0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R116     Top                               219.244   -214.929 90         0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R117     Top                               106.325     -5.997 0          0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R118     Top                                95.530     -5.997 180        0.4MM                            ROYAL OHM                        0402WGF0392T1E                   3K9      
R119     Top                                95.530     -3.076 0          0.4MM                            ROYAL OHM                        0402WGF0682T1E                   6K8      
R120     Top                                95.530     -4.473 180        0.4MM                            ROYAL OHM                        0402WGF0392T1E                   3K9      
R121     Top                                95.530     -1.679 180        0.4MM                            ROYAL OHM                        0402WGF5101T1E                   5K1      
R122     Top                               129.185    -18.824 270        0.4MM                            ROYAL OHM                        0402WGF0151T1E                   150R     
R125     Top                               131.725    -18.824 270        0.4MM                            ROYAL OHM                        0402WGF0151T1E                   150R     
R126     Top                                95.530      4.544 180        0.4MM                            ROYAL OHM                        0402WGF5101T1E                   5K1      
R127     Top                                95.530      1.750 180        0.4MM                            ROYAL OHM                        0402WGF0392T1E                   3K9      
R128     Top                                95.530      3.147 0          0.4MM                            ROYAL OHM                        0402WGF0682T1E                   6K8      
R129     Top                                95.530      0.226 180        0.4MM                            ROYAL OHM                        0402WGF0392T1E                   3K9      
R130     Top                               106.452      0.099 0          0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R131     Top                                74.956    -71.839 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R132     Top                               184.956   -102.739 270        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R133     Top                               191.956   -100.739 0          0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R134     Top                               191.956    -98.239 0          0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R135     Top                               189.176   -153.329 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R136     Top                               217.974   -214.929 270        0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R137     Top                               223.054   -214.929 270        0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R138     Top                                30.756   -125.022 0          0.4MM                            ROYAL OHM                        0402WGJ0120T1E                   120R     
R139     Top                               285.290   -169.680 270        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R140     Top                                95.956    -97.739 0          0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R141     Top                                95.956    -99.739 0          0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R142     Top                               283.490   -169.680 270        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R143     Bottom                             15.291   -210.035 90         0.4MM                            ROYAL OHM                        0402WGF6342T1E                   63K4     
R144     Bottom                             18.771   -211.102 270        0.4MM                            ROYAL OHM                        0402WG00T1E                      0R       
R145     Top                                19.790   -199.180 180        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R146     Bottom                             10.796   -162.766 180        0.4MM                            ROYAL OHM                        0402WGF1581T1E                   1K58     
R147     Bottom                             10.669   -166.195 0          0.4MM                            ROYAL OHM                        0402WGF6982T1E                   6K98     
R148     Bottom                             -4.775   -117.122 0          0.4MM                            ROYAL OHM                        0402WGF4752T1E                   4K75     
R149     Bottom                             -5.968   -113.388 180        0.4MM                            ROYAL OHM                        0402WGF1021T1E                   1K02     
R150     Top                                21.382   -194.337 180        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R151     Bottom                            146.456   -118.739 180        0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R152     Bottom                            146.454   -122.739 180        0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R153     Top                                95.956    -95.739 0          0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R154     Top                                95.956   -101.739 0          0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R155     Top                                95.756   -107.739 0          0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R156     Top                                95.756   -109.739 0          0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R157     Top                                98.956   -115.739 0          0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R158     Top                                98.956   -113.739 0          0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R159     Top                                16.456    -21.339 90         0.4MM                            ROYAL OHM                        0402WGF0393T1E                   39K      
R160     Top                                15.156    -21.339 270        0.4MM                            ROYAL OHM                        0402WGF0563T1E                   56K      
R161     Top                               192.756    -40.239 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R162     Top                               165.956   -146.239 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R163     Top                               185.356    -40.239 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R164     Top                               190.256    -40.239 90         0.4MM                            ROYAL OHM                        0402WGF0330T1E                   33R      
R165     Top                               191.456   -125.639 180        0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R166     Top                               207.456   -142.039 270        0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R167     Top                               247.975   -126.769 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R168     Top                               238.664   -124.219 90         0.4MM                            ROYAL OHM                        0402WGF0121T1E                   120R     
R169     Top                               248.038   -124.204 90         0.4MM                            ROYAL OHM                        0402WGF0121T1E                   120R     
R170     Top                               221.383    -45.139 270        0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R171     Top                               211.883    -45.139 270        0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R172     Top                               210.883    -44.739 270        0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R173     Top                                41.500    -77.000 180        0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R174     Top                                17.500    -77.000 0          0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R175     Top                                29.500    -77.000 0          0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R176     Top                                91.300    -88.300 90         0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R177     Bottom                             -5.460   -165.763 180        0.4MM                            ROYAL OHM                        0402WGF5361T1E                   5K36     
R178     Top                                90.800    -93.700 0          0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R179     Bottom                             -4.749   -169.370 0          0.4MM                            ROYAL OHM                        0402WGF2372T1E                   2K37     
R180     Top                               276.290   -192.780 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R181     Top                               273.090   -211.880 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R182     Top                               216.956   -140.239 270        0.4MM                            ROYAL OHM                        0402WGF3401T1E                   3K4      
R183     Top                                -9.553   -165.031 180        0.4MM                            ROYAL OHM                        0402WGF0102T1E                   1K       
R184     Top                                89.100    -72.000 180        0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R185     Top                               283.590   -208.280 90         7.5MM                            VISHAY                           AC05000001009JLB00               10R      
R186     Top                                92.100    -77.400 90         0.4MM                            ROYAL OHM                        0402WGF1000T1E                   100R     
R187     Top                               283.590   -183.580 90         7.5MM                            VISHAY                           AC05000005609JLB00               56R      
R188     Top                                41.200    -57.900 0          0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R189     Top                                41.200    -61.500 0          0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R190     Top                                18.288    -68.580 180        0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R191     Top                                21.463    -66.294 180        0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R192     Top                                26.416    -66.294 0          0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R194     Top                               209.195   -178.381 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R195     Top                               206.655   -178.381 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R196     Top                               204.115   -178.381 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R197     Top                               218.237   -196.422 270        0.4MM                            ROYAL OHM                        0402WGF0181T1E                   180R     
R198     Top                               211.735   -178.356 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R199     Top                               220.267   -196.423 270        0.4MM                            ROYAL OHM                        0402WGF0181T1E                   180R     
R200     Top                               216.161   -196.422 270        0.4MM                            ROYAL OHM                        0402WGF0181T1E                   180R     
R201     Top                               214.160   -196.422 270        0.4MM                            ROYAL OHM                        0402WGF0181T1E                   180R     
R202     Top                               212.156   -197.539 270        0.4MM                            ROYAL OHM                        0402WGF0181T1E                   180R     
R203     Top                               210.156   -197.539 270        0.4MM                            ROYAL OHM                        0402WGF0181T1E                   180R     
R204     Top                               200.102   -178.381 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R205     Top                               197.562   -178.381 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R206     Top                               195.022   -178.381 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R207     Top                               209.456    -46.239 0          0.4MM                            ROYAL OHM                        0402WGF0102T1E                   1K       
R208     Top                               209.456    -48.239 0          0.4MM                            ROYAL OHM                        0402WGF0102T1E                   1K       
R209     Bottom                            131.956   -133.239 90         0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R210     Top                               222.649   -178.356 0          0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R211     Top                               220.170   -178.356 0          0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R212     Top                               217.616   -178.356 0          0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R213     Top                                95.456    -26.739 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   100K     
R214     Top                                93.456    -37.239 180        0.4MM                            ROYAL OHM                        0402WGF3601T1E                   3K6      
R215     Top                                93.456    -38.739 0          0.4MM                            ROYAL OHM                        0402WGF01821T1E                  1K8      
R216     Top                               119.456    -38.739 0          0.4MM                            ROYAL OHM                        0402WGF01821T1E                  1K8      
R217     Top                               119.456    -37.239 180        0.4MM                            ROYAL OHM                        0402WGF3601T1E                   3K6      
R218     Top                               120.956    -26.739 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   100K     
R219     Top                               108.456    -26.739 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   100K     
R220     Top                               106.456    -37.239 180        0.4MM                            ROYAL OHM                        0402WGF4421T1E                   4K42     
R221     Top                               106.456    -38.739 0          0.4MM                            ROYAL OHM                        0402WGF1101T1E                   1K1      
R222     Top                               239.256    -86.839 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R223     Top                               236.856    -86.839 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R224     Top                               230.356    -32.200 180        0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R225     Bottom                            273.281   -151.091 180        0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R226     Top                               273.281   -151.091 0          0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R229     Top                               276.935    -96.445 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R230     Top                               278.214    -96.445 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R231     Bottom                             42.267   -116.628 0          0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R232     Bottom                             42.267   -117.916 0          0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R233     Bottom                             50.456    -69.739 270        0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R234     Bottom                             48.456    -70.239 270        0.4MM                            ROYAL OHM                        0402WGF0472T1E                   4K7      
R235     Top                                25.056   -121.522 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R236     Top                                25.056   -123.022 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R237     Top                               238.156    -86.839 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R238     Top                               202.895    -40.864 180        0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R239     Top                               240.356    -86.839 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R240     Top                               219.956    -45.139 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R241     Top                               242.556    -86.839 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R242     Top                               241.456    -86.839 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R243     Top                               195.944    -31.026 0          0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R244     Top                               195.944    -32.550 0          0.4MM                            ROYAL OHM                        0402WGF0331T1E                   330R     
R245     Top                               195.944    -18.326 0          0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R246     Top                               195.944    -19.850 0          0.4MM                            ROYAL OHM                        0402WGF0331T1E                   330R     
R247     Top                               195.944    -21.628 0          0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R248     Top                               195.944    -23.152 0          0.4MM                            ROYAL OHM                        0402WGF0331T1E                   330R     
R249     Top                               195.944    -24.930 0          0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R250     Top                               195.944    -26.454 0          0.4MM                            ROYAL OHM                        0402WGF0331T1E                   330R     
R251     Top                               195.944    -29.527 0          0.4MM                            ROYAL OHM                        0402WGF0331T1E                   330R     
R252     Top                               195.944    -27.978 0          0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R253     Top                               230.327    -18.258 180        0.4MM                            ROYAL OHM                        0402WGF9761T1E                   9K76     
R254     Bottom                            221.133    -16.002 90         0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R255     Bottom                            220.133    -16.002 90         0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R256     Bottom                            217.133    -16.002 90         0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R257     Bottom                            218.133    -16.002 90         0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R258     Bottom                            215.133    -16.002 90         0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R259     Bottom                            214.133    -16.002 90         0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R260     Bottom                            212.133    -16.002 90         0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R261     Bottom                            211.133    -16.002 90         0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R262     Top                               230.327    -19.782 0          0.4MM                            ROYAL OHM                        0402WGF0100T1E                   10       
R263     Top                               230.319    -22.574 0          0.4MM                            ROYAL OHM                        0402WGF0180T1E                   18       
R264     Top                               230.319    -27.959 180        0.4MM                            ROYAL OHM                        0402WGF0222T1E                   NO POP   
R265     Top                               230.319    -26.588 180        0.4MM                            ROYAL OHM                        0402WGF0222T1E                   NO POP   
R266     Top                               230.319    -24.581 180        0.4MM                            ROYAL OHM                        0402WGF0222T1E                   NO POP   
R267     Top                               244.956    -98.739 180        0.4MM                            ROYAL OHM                        0402WGF0102T1E                   1K       
R268     Top                               202.904    -34.252 0          0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R269     Top                               202.853    -36.080 0          0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R270     Top                               202.853    -37.858 0          0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R271     Top                               202.853    -39.382 0          0.4MM                            ROYAL OHM                        0402WGF0222T1E                   2K2      
R272     Top                               218.856    -45.139 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R273     Top                               217.656    -45.139 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R274     Top                               216.456    -45.139 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R275     Top                               212.883    -45.139 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R276     Top                               214.383    -45.139 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R277     Top                               230.293    -29.077 180        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R278     Top                               280.490   -164.080 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   100K     
R279     Top                               283.490   -164.080 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   100K     
R280     Top                                29.384   -190.506 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   100K     
R281     Top                                -3.932    -98.637 180        0.4MM                            ROYAL OHM                        0402WGF1151T1E                   1K15     
R282     Top                                -3.932    -99.882 0          0.4MM                            ROYAL OHM                        0402WGF3571T1E                   3K57     
R283     Top                               -14.173   -100.409 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   100K     
R284     Top                                -1.744      4.361 0          0.4MM                            ROYAL OHM                        0402WGF0181T1E                   180R     
R285     Top                                -1.744      5.561 0          0.4MM                            ROYAL OHM                        0402WGF0103T1E                   100K     
R286     Top                                -2.344     -7.339 0          0.4MM                            ROYAL OHM                        0402WGF0181T1E                   180R     
R287     Top                               284.890   -132.280 270        0.89MM                           VISHAY DALE                      WSL2512R0100FEA                  0R01     
R288     Top                               281.690   -169.680 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R289     Top                               281.890   -164.080 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R290     Top                               278.490   -169.680 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R291     Top                               280.090   -169.680 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R292     Top                               285.190   -104.680 270        0.89MM                           VISHAY DALE                      WSL25124L000FEA                  0R004    
R293     Top                                26.200   -196.400 90         0.89MM                           VISHAY DALE                      WSL2512R0100FEA                  0R01     
R294     Top                               -10.700   -158.300 180        0.89MM                           VISHAY DALE                      WSL2512R0100FEA                  0R01     
R295     Top                                 4.573   -106.835 0          0.89MM                           VISHAY DALE                      WSL25122L000FEA                  0R0022   
R296     Top                                16.000   -157.800 90         0.89MM                           VISHAY DALE                      WSL25124L000FEA                  0R004    
R298     Top                                26.036   -207.648 90         0.89MM                           VISHAY DALE                      WSL25121L000FEA                  0R001    
R299     Top                                -2.344     -5.939 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R300     Bottom                            128.456    -91.239 90         0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R301     Bottom                            129.456    -91.239 90         0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R302     Top                               186.956    -58.239 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R303     Top                               188.456    -58.239 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R304     Bottom                            175.456    -84.739 0          0.4MM                            ROYAL OHM                        0402WGF249JTIE                   249R     
R305     Bottom                            188.108   -151.975 270        0.4MM                            ROYAL OHM                        0402WGF3300T1E                   330R     
R306     Bottom                            189.193   -151.975 90         0.4MM                            ROYAL OHM                        0402WGF2400T1E                   240R     
RO1      Top                               190.056    -84.339 90         0.4MM                            ROYAL OHM                        0402WGF0102T1E                   NO POP   
RO2      Top                               191.556    -84.339 90         0.4MM                            ROYAL OHM                        0402WGF0102T1E                   NO POP   
RO3      Top                               193.056    -84.339 90         0.4MM                            ROYAL OHM                        0402WGF0102T1E                   NO POP   
RO4      Top                               194.556    -84.339 90         0.4MM                            ROYAL OHM                        0402WGF0102T1E                   NO POP   
RO5      Top                               196.056    -84.339 90         0.4MM                            ROYAL OHM                        0402WGF0102T1E                   NO POP   
RO10     Top                               223.820   -155.144 180        0.4MM                            ROYAL OHM                        0402WGJ0104T1E                   NO POP   
RO11     Top                               223.820   -156.668 0          0.4MM                            ROYAL OHM                        0402WGJ0104T1E                   NO POP   
RO14     Top                               223.820   -158.446 180        0.4MM                            ROYAL OHM                        0402WGJ0104T1E                   NO POP   
RP1      Bottom                            166.656   -120.439 90         0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP2      Bottom                            170.056   -120.439 90         0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP3      Bottom                            173.556   -120.439 90         0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP4      Bottom                            177.956   -126.739 180        0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP5      Bottom                            177.956   -129.239 180        0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP6      Bottom                            177.956   -131.739 180        0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP7      Bottom                            177.956   -134.239 180        0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP8      Bottom                            163.656   -140.239 270        0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP9      Bottom                            171.956   -140.239 270        0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP10     Bottom                            169.156   -140.239 270        0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP11     Bottom                            166.356   -140.239 270        0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP12     Bottom                            177.956   -136.539 180        0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP13     Top                                40.656   -142.922 180        0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP14     Top                                40.656   -139.722 180        0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP15     Top                                40.656   -136.422 180        0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP16     Top                                40.656   -128.122 180        0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP17     Top                                40.656   -123.222 180        0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP18     Top                                40.656   -118.322 180        0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP19     Top                               273.806   -147.963 0          0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP20     Top                                40.656   -145.622 180        0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP21     Top                               273.806   -133.842 0          0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP22     Top                               273.806   -130.903 0          0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP23     Top                               273.806   -128.108 0          0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP24     Top                               273.806   -123.735 0          0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP25     Top                               273.806   -142.766 0          0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP26     Top                               273.806   -145.432 0          0.55MM                           ROYAL OHM                        4D02WGJ0510B1E                   49.9R    
RP27     Bottom                            166.856    -74.839 90         0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP28     Bottom                            170.156    -74.839 90         0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
RP29     Bottom                            174.056    -74.839 90         0.55MM                           ROYAL OHM                        4D02WGJ0510T                     51R      
